route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
550-13188,550,Metro Express Line,JEFFERSON PRK - HARBOR GATWY TC VIA HARBR TRANS WY,3,,,
577-13188,577,Metro Express Line,EL MONTE STA- LONG BEACH VA MED CTR VIA I-605 FWY,3,,,
601-13188,601,Metro Local Line,WARNER CENTER CIRCULATOR,3,,,
602-13188,602,Metro Local Line,WESTWOOD - PACIFIC PALISADES VIA SUNSET BL,3,,,
605-13188,605,Metro Local Line,LAC+USC MED CTR OUT PATIENT SHUTTLE,3,,,
611-13188,611,Metro Local Line,HUNTINGTON PARK  SHUTTLE,3,,,
617-13188,617,Metro Local Line,BEVERLY HILLS-CULVER CITY VIA BURTON -  ROBERTSON,3,,,
660-13188,660,Metro Local Line,DEL MAR STATION - ALTADENA - VIA FAIR OAKS SHUTTLE,3,,,
662-13188,662,Metro Local Line,ALTADENA-PASADENA VIA LAKE - LOS ROBLES - LINCOLN,3,,,
665-13188,665,Metro Local Line,ROSE HILL TC - CITY TERRACE - EAST LA,3,,,
690-13188,690,Metro Local Line,SYLMAR OLIVE VIEW HOSP. - SUNLAND VIA FOOTHILL BL,3,,,
720-13188,720,Metro Rapid Line,SANTA MONICA-DOWNTOWN LA VIA WILSHIRE BLVD,3,000000,FFFFFF,
754-13188,754,Metro Rapid Line,HOLLYWOOD - ATHENS VIA VERMONT AV,3,000000,FFFFFF,
761-13188,761,Metro Rapid Line,SYLMAR STA- WEST LA VIA VAN NUYS BL - SEPULVEDA BL,3,000000,FFFFFF,
697-13196,LAX / Metro Transit Center -  SoFi Stadium Express,,"The express shuttle will operate between the Metro LAX / Metro Transit Center and SoFi Stadium. Shuttle service will run every 5 minutes beginning roughly 3 hours before the event begins and ending roughly 1.5 hours after the event concludes. During the event, shuttles will depart SoFi to the LAX / Metro Transit Center as needed. Metro express service to SoFi Stadium is FREE, but normal fares apply for regular Metro Bus and Rail service and parking fees at Metro Park & Ride lots",3,,,https://www.metro.net/riding/gameday/
901-13188,,Metro G Line (Orange) 901,METRO G LINE,3,FC4C02,FFFFFF,https://www.metro.net/g-line/
910-13188,,Metro J Line (Silver) 910/950,METRO J LINE,3,ADB8BF,000000,https://www.metro.net/j-line/
DSE-HG,South Bay Dodger Stadium Express,,"This Express Service operates on the dates of all Dodger home games, departing from Harbor Gateway Transit Center Bay #9 and running up the Harbor Transitway to Dodger Stadium, beginning 2 Hours before game time and continuing until 45 minutes after the game ends. This is a free service to anyone with a ticket to the game.",3,,,http://www.metro.net/riding/dodger-stadium-express/
DSE-US,Dodger Stadium Express,,"This Express Service operates on the dates of all Dodger home games, departing from the West Portal of Historic Union Station and running directly to Dodger Stadium, beginning 90 minutes before game time and continuing until 45 minutes after the game ends. This is a free service to anyone with a ticket to the game.",3,,,http://www.metro.net/riding/dodger-stadium-express/
